0 1 1 31		0.8686 -3.5
0 1 1 32		1.0002 -1.1
0 1 1 33		1.0122 -2.1
0 1 1 34		0.9944 2.1
0 1 1 35		0.8722 -4.8
0 1 1 36		1.0069 -1.0
0 1 1 37		1.0135 -0.1
0 1 1 38		1.0037 -3.3
0 1 1 39		0.8792 -3.4
0 1 1 40		1.0149 -6.0
0 1 1 41		1.0165 -6.2
0 1 1 42		1.0105 -5.5
0 1 1 43		0.8767 -7.4
0 1 1 44		1.0047 -4.7
0 1 1 45		1.0047 -4.7
0 1 1 46		1.0258 -9.5
0 1 1 47		1.0090 -6.4
0 1 1 48		0.8840 -8.7
0 1 1 49		1.0117 -8.0
0 1 1 50		1.0206 -7.1
0 1 1 51		1.0125 -7.6
0 1 1 52		0.8844 -9.8
0 1 1 53		1.0138 -6.9
0 1 1 54		1.0182 -11.1
0 1 1 55		1.0046 -3.6
0 1 1 56		1.0046 -3.6
0 1 1 57		0.9117 -31.0
0 1 1 58		1.0130 -7.4
0 1 1 59		1.0284 -6.6
0 1 1 60		1.0122 -6.7
0 1 1 61		0.8904 -12.3
0 1 1 62		1.0188 -7.2
0 1 1 63		1.0161 -5.6
0 1 1 64		1.0024 -0.8
0 1 1 65		0.8834 -10.3
0 1 1 66		1.0086 -2.2
0 1 1 67		1.0135 -0.1
0 1 2 0		0.8799 -6.0
0 1 2 1		1.0234 -2.7
0 1 2 2		1.0567 -7.1
0 1 2 3		1.0197 -2.8
0 1 2 4		0.8800 -7.7
0 1 2 5		1.0225 -8.1
0 1 2 6		1.0564 -10.2
0 1 2 7		1.0181 -2.7
0 1 2 8		0.8736 -7.6
0 1 2 9		1.0139 -4.3
0 1 2 10		1.0500 -9.1
0 1 2 11		1.0500 -9.1
0 1 2 12		1.0175 -6.5
0 1 2 13		0.8706 -6.8
0 1 2 14		1.0109 -9.7
0 1 2 15		1.0514 -8.4
0 1 2 16		1.0104 -6.8
0 1 2 17		0.8673 -6.6
0 1 2 18		1.0096 -7.2
0 1 2 19		1.0499 -9.4
0 1 2 20		1.0072 -7.8
0 1 2 21		0.8809 -9.9
0 1 2 22		0.8809 -9.9
0 1 2 23		1.0190 -9.3
0 1 2 24		1.0462 -6.8
0 1 2 25		1.0162 -7.7
0 1 2 26		0.8843 -7.6
0 1 2 27		1.0146 -3.8
0 1 2 28		1.0561 -7.9
0 1 2 29		1.0105 -5.5
0 1 2 30		0.8947 -5.9
0 1 2 31		1.0136 -3.5
0 1 2 32		1.0534 -7.0
0 1 2 33		1.0146 -3.8
0 1 2 34		0.8894 -3.6
0 1 2 35		1.0281 -3.4
0 1 2 36		1.0560 -2.0
0 1 2 37		1.0299 -3.3
0 1 2 38		0.8875 -3.2
0 1 2 39		1.0302 -7.9
0 1 2 40		1.0582 -4.1
0 1 2 41		1.0239 -3.8
0 1 2 42		0.8805 -8.5
0 1 2 43		1.0289 -9.6
0 1 2 44		1.0552 -7.2
0 1 2 45		1.0552 -7.2
0 1 2 46		1.0197 -6.5
0 1 2 47		0.8932 -11.1
0 1 2 48		1.0349 -11.9
0 1 2 49		1.0609 -7.3
0 1 2 50		1.0340 -11.2
0 1 2 51		0.8755 -6.3
0 1 2 52		1.0313 -9.3
0 1 2 53		1.0645 -8.8
0 1 2 54		1.0238 -7.5
0 1 2 55		0.8992 -16.0
0 1 2 56		0.8992 -16.0
0 1 2 57		1.0620 -12.6
0 1 2 58		0.8806 -11.4
0 1 2 59		1.0574 -10.8
0 1 2 60		0.8860 -10.4
0 1 2 61		1.0546 -6.4
0 1 2 62		0.8699 -6.5
0 1 2 63		1.0451 -4.1
0 1 2 64		0.8779 -4.4
0 1 2 65		1.0629 -5.9
0 1 2 66		0.8885 -12.8
0 1 2 67		1.0498 -3.5
0 1 3 0		0.8179 -26.3
0 1 3 1		0.9307 -6.5
0 1 3 2		0.9107 -5.5
0 1 3 3		0.9130 -4.6
0 1 3 4		0.8877 -7.2
0 1 3 5		1.0161 -4.3
0 1 3 6		1.0144 -3.1
0 1 3 7		1.0194 -5.7
0 1 3 8		0.8867 -11.8
0 1 3 9		0.9985 -2.2
0 1 3 10		1.0094 -4.1
0 1 3 11		1.0094 -4.1
0 1 3 12		1.0206 -10.8
0 1 3 13		0.8773 -9.0
0 1 3 14		1.0103 -8.1
0 1 3 15		1.0038 -3.0
0 1 3 16		1.0045 -6.2
0 1 3 17		0.8836 -9.4
0 1 3 18		1.0096 -8.5
0 1 3 19		1.0126 -5.5
0 1 3 20		1.0133 -11.8
0 1 3 21		0.8826 -7.9
0 1 3 22		0.8826 -7.9
0 1 3 23		1.0052 -7.1
0 1 3 24		0.9916 -5.6
0 1 3 25		1.0073 -5.2
0 1 3 26		0.8975 -9.0
0 1 3 27		1.0052 -7.1
0 1 3 28		1.0022 -2.8
0 1 3 29		0.9977 -1.6
0 1 3 30		0.8936 -7.7
0 1 3 31		1.0011 -5.0
0 1 3 32		1.0109 -1.9
0 1 3 33		1.0030 -0.1
0 1 3 34		0.8796 -2.3
0 1 3 35		1.0197 -7.9
0 1 3 36		1.0199 -1.6
0 1 3 37		1.0078 -1.6
0 1 3 38		0.8912 -4.6
0 1 3 39		1.0187 -2.4
0 1 3 40		1.0241 -2.2
0 1 3 41		1.0099 -4.7
0 1 3 42		0.8935 -7.9
0 1 3 43		1.0099 -7.0
0 1 3 44		1.0181 -2.7
0 1 3 45		1.0181 -2.7
0 1 3 46		1.0184 -8.5
0 1 3 47		0.8860 -4.4
0 1 3 48		1.0130 -7.4
0 1 3 49		1.0280 -6.1
0 1 3 50		1.0122 -6.7
0 1 3 51		0.9021 -10.7
0 1 3 52		1.0050 -4.9
0 1 3 53		1.0232 -7.6
0 1 3 54		1.0105 -3.2
0 1 3 55		0.9022 -5.4
0 1 3 56		0.9022 -5.4
0 1 3 57		1.0217 -6.2
0 1 3 58		1.0181 -2.7
0 1 3 59		1.0145 -4.1
0 1 3 60		0.9083 -5.0
0 1 3 61		1.0129 -1.7
0 1 3 62		1.0370 -3.5
0 1 3 63		1.0186 -1.4
0 1 3 64		0.9132 -6.6
0 1 3 65		1.0129 -0.3
0 1 3 66		1.0654 -7.0
0 1 3 67		1.0406 -3.7
0 2 0 0		1.0338 1.8
0 2 0 1		1.0334 1.4
0 2 0 2		1.0240 -2.5
0 2 0 3		1.0371 -0.9
0 2 0 4		1.0231 -4.2
0 2 0 5		1.0417 -2.7
0 2 0 6		1.0218 -4.9
0 2 0 7		1.0508 -3.9
0 2 0 8		1.0237 -0.3
0 2 0 9		1.0428 -4.1
0 2 0 10		1.0304 -8.7
0 2 0 11		1.0304 -8.7
0 2 0 12		1.0646 -8.5
0 2 0 13		1.0230 -6.8
0 2 0 14		1.0401 -6.0
0 2 0 15		1.0285 -7.7
0 2 0 16		1.0455 -7.3
0 2 0 17		1.0272 -7.5
0 2 0 18		1.0274 -4.9
0 2 0 19		1.0276 -9.4
0 2 0 20		1.0380 -6.2
0 2 0 21		1.0303 -5.3
0 2 0 22		1.0303 -5.3
0 2 0 23		1.0436 -7.4
0 2 0 24		1.0250 -5.2
0 2 0 25		1.0437 -7.1
0 2 0 26		1.0309 -7.4
0 2 0 27		1.0390 -4.2
0 2 0 28		1.0293 -3.5
0 2 0 29		1.0534 -4.6
0 2 0 30		1.0284 -4.3
0 2 0 31		1.0352 -2.3
0 2 0 32		1.0161 -2.0
0 2 0 33		1.0381 -1.2
0 2 0 34		1.0381 -1.2
0 2 0 35		1.0389 -2.1
0 2 0 36		1.0299 -1.0
0 2 0 37		1.0532 -1.4
0 2 0 38		1.0374 -5.5
0 2 0 39		1.0611 -5.7
0 2 0 40		1.0361 -2.9
0 2 0 41		1.0552 -4.8
0 2 0 42		1.0552 -4.8
0 2 0 43		1.0437 -4.7
0 2 0 44		1.0388 -7.2
0 2 0 45		1.0388 -7.2
0 2 0 46		1.0548 -11.1
0 2 0 47		1.0392 -9.1
0 2 0 48		1.0451 -4.1
0 2 0 49		1.0303 -5.3
0 2 0 50		1.0419 -7.3
0 2 0 51		1.0407 -8.2
0 2 0 52		1.0526 -11.3
0 2 0 53		1.0213 -6.6
0 2 0 54		1.0473 -6.2
0 2 0 55		1.0096 -4.9
0 2 0 56		1.0096 -4.9
0 2 0 57		1.0538 -5.5
0 2 0 58		1.0154 -4.7
0 2 0 59		1.0561 -5.5
0 2 0 60		1.0156 -6.9
0 2 0 61		1.0470 -1.6
0 2 0 62		1.0470 -1.6
0 2 0 63		1.0591 -4.7
0 2 0 64		1.0157 -3.3
0 2 0 65		1.0648 -7.2
0 2 0 66		1.0327 -5.0
0 2 0 67		1.0562 0.7
0 2 1 0		1.0128 1.7
0 2 1 1		1.0081 -7.1
0 2 1 2		0.9937 -7.8
0 2 1 3		0.9932 -2.2
0 2 1 4		0.9929 -3.6
0 2 1 5		0.9835 -4.2
0 2 1 6		0.9946 -8.1
0 2 1 7		0.9948 -7.0
0 2 1 8		0.9907 -6.2
0 2 1 9		0.9869 -6.3
0 2 1 10		0.9810 -4.9
0 2 1 11		0.9810 -4.9
0 2 1 12		0.9838 -8.5
0 2 1 13		0.9795 -6.9
0 2 1 14		0.9876 -9.4
0 2 1 15		0.9993 -16.5
0 2 1 16		0.9915 -9.1
0 2 1 17		0.9941 -10.6
0 2 1 18		0.9847 -8.3
0 2 1 19		0.9898 -9.2
0 2 1 20		0.9858 -8.5
0 2 1 21		0.9924 -10.7
0 2 1 22		0.9924 -10.7
0 2 1 23		0.9860 -8.2
0 2 1 24		0.9962 -8.3
0 2 1 25		0.9912 -6.0
0 2 1 26		1.0057 -8.7
0 2 1 27		0.9936 -3.2
0 2 1 28		0.9851 -4.4
0 2 1 29		0.9876 -7.2
0 2 1 30		0.9865 -3.5
0 2 1 31		0.9852 -5.4
0 2 1 32		0.9908 -5.0
0 2 1 33		0.9824 -5.4
0 2 1 34		1.0095 -2.9
0 2 1 35		1.0003 -2.2
0 2 1 36		1.0021 -3.1
0 2 1 37		1.0003 -0.8
0 2 1 38		0.9998 -5.7
0 2 1 39		0.9955 -2.9
0 2 1 40		1.0103 -3.5
0 2 1 41		1.0006 -5.3
0 2 1 42		1.0011 -1.4
0 2 1 43		0.9954 -5.5
0 2 1 44		1.0074 -9.9
0 2 1 45		1.0074 -9.9
0 2 1 46		0.9992 -9.5
0 2 1 47		1.0029 -8.3
0 2 1 48		1.0063 -4.9
0 2 1 49		1.0085 -7.1
0 2 1 50		1.0109 -7.4
0 2 1 51		1.0171 -8.3
0 2 1 52		1.0125 -7.6
0 2 1 53		1.0175 -10.2
0 2 1 54		1.0300 -16.1
0 2 1 55		1.0063 -7.1
0 2 1 56		1.0063 -7.1
0 2 1 57		1.0120 -9.3
0 2 1 58		1.0139 -8.0
0 2 1 59		1.0069 -6.9
0 2 1 60		1.0078 -3.9
0 2 1 61		1.0174 -3.1
0 2 1 62		1.0189 -5.9
0 2 1 63		1.0238 -8.3
0 2 1 64		1.0051 -2.4
0 2 1 65		1.0028 -2.7
0 2 1 66		1.0164 -2.8
0 2 1 67		1.0286 -1.7
0 2 2 0		1.0627 0.1
